individual_id,time_point_id,reward
1,1,1127.933022705389
2,1,1164.3874037112373
3,1,778.8200202945653
4,1,328.5415625084624
5,1,226.5424547101087
6,1,562.6994387832374
7,1,1033.2714203417727
8,1,1206.5401143424488
9,1,910.8524210931703
10,1,437.4188318861718
11,1,211.0013802590029
12,1,436.3200503488652
13,1,919.05752816158
14,1,1199.0130873084029
15,1,1032.7435519323749
16,1,561.004341256171
17,1,229.66207993744823
18,1,332.1749537915967
19,1,784.3399412274921
20,1,1165.5578139848585
21,1,1122.6251063069703
22,1,706.1913206726163
23,1,288.7109132882863
24,1,250.08600691227096
25,1,643.7909685771776
26,1,1084.4091360042894
27,1,1182.6828125789448
28,1,838.768173759382
29,1,379.48004308116595
30,1,219.8259625629935
31,1,499.71451077200567
32,1,983.3112753041333
33,1,1208.0853655884164
34,1,973.2161310910036
35,1,496.70570328146584
36,1,209.5308104981698
37,1,388.53818016050246
38,1,857.3788995374116
39,1,1189.6595918358237
40,1,1084.4393855101084
1,2,529.8913794093559
2,2,567.0948351081879
3,2,183.0343768759887
4,2,-275.98796677438884
5,2,-370.79043281654424
6,2,-42.393789076976695
7,2,427.59930146920857
8,2,609.5975625489431
9,2,305.80196260327097
10,2,-163.3336557565202
11,2,-394.89626544095665
12,2,-158.09920690836785
13,2,322.0009859018442
14,2,591.4029363022825
15,2,430.8558679532728
16,2,-37.037370928495456
17,2,-367.6512195437139
18,2,-265.1784303288031
19,2,181.93924366625905
20,2,571.9416447906099
21,2,515.5836087082802
22,2,112.43905006162359
23,2,-300.82715813465086
24,2,-355.26256299656615
25,2,42.54830818447195
26,2,483.6359317788115
27,2,581.3130713743766
28,2,236.60137340630163
29,2,-212.94217879143886
30,2,-375.5620991119388
31,2,-105.23830591600118
32,2,387.55019996790963
33,2,610.662354209784
34,2,379.7781201485949
35,2,-98.41706326494126
36,2,-392.6923517737748
37,2,-213.08174473866808
38,2,262.78170669033733
39,2,583.2296506641579
40,2,484.75242828494197
1,3,157.80479837234185
2,3,189.55919537737722
3,3,-182.1084432353811
4,3,-653.1409759429346
5,3,-738.2348826577435
6,3,-415.4346035907617
7,3,51.59018484936104
8,3,233.70962734726416
9,3,-77.85850685809918
10,3,-533.7598329452412
11,3,-776.8062045716738
12,3,-521.7712833533658
13,3,-52.19580919495535
14,3,207.73572760951924
15,3,58.71447127131103
16,3,-407.09680972841306
17,3,-738.7215432430398
18,3,-639.4918205677376
19,3,-191.4041930077711
20,3,200.461657748789
21,3,143.7791412534169
22,3,-258.4561959377138
23,3,-668.702646532787
24,3,-726.8222345274612
25,3,-337.8616954332083
26,3,118.39740865235223
27,3,216.96359218316059
28,3,-138.1480281513711
29,3,-583.0677096239102
30,3,-747.7121822712171
31,3,-470.94290342791993
32,3,11.11574380653445
33,3,232.5813992687523
34,3,15.681495557007244
35,3,-466.2063877524078
36,3,-767.6069902632628
37,3,-587.7956467293595
38,3,-106.20063195670538
39,3,198.6957128913834
40,3,108.29714277743041
1,4,261.35575144924337
2,4,282.85665376658005
3,4,-76.3269854569718
4,4,-548.5255117844484
5,4,-634.1596688218194
6,4,-308.3598263286058
7,4,155.2431122951843
8,4,334.7391000361149
9,4,13.371090713951839
10,4,-433.49210738777236
11,4,-671.0670749640213
12,4,-421.306861960181
13,4,49.64880274810241
14,4,305.6631377707033
15,4,158.92667239058332
16,4,-306.193961369305
17,4,-641.0120098452254
18,4,-544.2501441766888
19,4,-83.86599221473946
20,4,298.93393787607556
21,4,246.50106782938278
22,4,-161.79322335908842
23,4,-575.3769765862882
24,4,-622.676467745878
25,4,-241.74815103300645
26,4,227.23348900976075
27,4,327.4189170496864
28,4,-33.18057895999044
29,4,-486.3582635407583
30,4,-638.0619916637752
31,4,-364.20353342512277
32,4,107.063011917471
33,4,326.7472509275997
34,4,112.58788765133313
35,4,-363.1193054507118
36,4,-674.5771370161801
37,4,-480.6449524914765
38,4,-9.51878642869617
39,4,292.43628923952167
40,4,206.95675968088165
1,5,682.6911878149882
2,5,696.0540002956723
3,5,335.1209415608554
4,5,-130.03598112780531
5,5,-220.75717089463987
6,5,107.84895369223096
7,5,564.3916373877694
8,5,757.0798010799261
9,5,429.4242143876374
10,5,-23.787966292134747
11,5,-252.67221268874167
12,5,-8.147137749515938
13,5,462.0210665326874
14,5,724.017549727397
15,5,567.1788219656013
16,5,103.01845194015765
17,5,-230.18608685870623
18,5,-127.34678868282506
19,5,326.619419572467
20,5,716.6115749895241
21,5,661.3231446595288
22,5,246.04446432879092
23,5,-168.64574681942113
24,5,-206.10349722383566
25,5,167.0083298676694
26,5,640.3188261326428
27,5,741.3000605424088
28,5,387.11251917964586
29,5,-81.18509705518841
30,5,-218.1778997506709
31,5,45.859481870701124
32,5,519.4700578044157
33,5,743.8529111269794
34,5,518.0919916549547
35,5,50.16846697192201
36,5,-267.88709034091966
37,5,-58.61949208883541
38,5,396.3630336182325
39,5,708.2076177799669
40,5,617.3852317191573
1,6,978.610250395412
2,6,991.711689162809
3,6,622.2844756137739
4,6,165.19071284022723
5,6,65.74344749044734
6,6,399.7332737374685
7,6,852.2194009341847
8,6,1057.4037266660016
9,6,733.2613736881159
10,6,266.2249148471113
11,6,35.89248650362411
12,6,279.98866185553806
13,6,751.3813250430222
14,6,1019.0799739054687
15,6,853.5540141063248
16,6,396.29548739007845
17,6,64.0913036034807
18,6,163.2184534082391
19,6,615.8998621456524
20,6,1015.6219636362015
21,6,957.8188656094743
22,6,537.7240421390974
23,6,123.9623734846138
24,6,88.78536557373185
25,6,457.7926113760956
26,6,928.1383575573878
27,6,1028.9250670513259
28,6,678.5592398653145
29,6,209.72537980189009
30,6,75.8281406276708
31,6,340.0521581448663
32,6,812.7735998118206
33,6,1033.7637273922667
34,6,809.4091965193232
35,6,340.30551559470194
36,6,24.289894520802775
37,6,239.98263375604859
38,6,686.3073575958389
