individual_id,time_point_id,reward
1,1,711.8866453380217
2,1,746.7998663469126
3,1,361.71115696400494
4,1,-84.25009471989414
5,1,-193.31098439750045
6,1,154.4434038346057
7,1,618.6444522934607
8,1,789.8302762457704
9,1,490.21039555494497
10,1,21.14059748938521
11,1,-216.84395034128005
12,1,20.864693933852163
13,1,499.2346713473964
14,1,785.4548307814978
15,1,624.2950730126266
16,1,152.19949460153643
17,1,-186.54759300570925
18,1,-79.34247045176737
19,1,366.08975776554894
20,1,749.6237782978882
21,1,711.4789722021003
22,1,278.7254982888703
23,1,-136.9590491535154
24,1,-170.63802806924372
25,1,219.97527788518164
26,1,666.4303781738705
27,1,761.3391171363149
28,1,419.6040470879994
29,1,-44.66578917241362
30,1,-207.86465911236203
31,1,81.13233027253763
32,1,563.8644935549158
33,1,797.1070829876969
34,1,550.6924959940796
35,1,69.05981818599382
36,1,-208.73827378748598
37,1,-27.61791374442972
38,1,445.3354422887642
39,1,767.0488460761085
40,1,661.707733173743
1,2,233.662074130378
2,2,268.57529513926914
3,2,-116.51341424363669
4,2,-562.4746659275385
5,2,-671.5355556051445
6,2,-323.7811673730313
7,2,140.41988108582305
8,2,311.6057050381159
9,2,11.985824347307073
10,2,-457.083973718253
11,2,-695.068521548915
12,2,-457.35987727378586
13,2,21.010100139749227
14,2,307.23025957386494
15,2,146.0705018049883
16,2,-326.02507660610263
17,2,-664.7721642133497
18,2,-557.5670416594149
19,2,-112.13481344209585
20,2,271.3992070902439
21,2,233.25440099445782
22,2,-199.49907291877412
23,2,-615.1836203611612
24,2,-648.8625992768848
25,2,-258.2492933224562
26,2,188.20580696623247
27,2,283.11454592867983
28,2,-58.6205241196361
29,2,-522.8903603800494
30,2,-686.0892303200008
31,2,-397.09224093510676
32,2,85.63992234727505
33,2,318.8825117800628
34,2,72.46792478643981
35,2,-409.16475302164184
36,2,-686.9628449951302
37,2,-505.8424849520701
38,2,-32.8891289188788
39,2,288.8242748684738
40,2,183.48316196610332
1,3,-53.26075589627498
2,3,-18.347534887381876
3,3,-403.4362442702845
4,3,-849.3974959541808
5,3,-958.458385631802
6,3,-610.7039973996915
7,3,-146.5029489408297
8,3,24.68287501146814
9,3,-274.93700567934394
10,3,-744.0068037449064
11,3,-981.991351575564
12,3,-744.282707300444
13,3,-265.91272988690105
14,3,20.307429547212717
15,3,-140.85232822166512
16,3,-612.9479066327568
17,3,-951.6949942399881
18,3,-844.4898716860611
19,3,-399.0576434687448
20,3,-15.523622936408778
21,3,-53.66842903219517
22,3,-486.42190294542036
23,3,-902.1064503878124
24,3,-935.7854293035234
25,3,-545.1721233491078
26,3,-98.71702306042185
27,3,-3.8082840979710992
28,3,-345.54335414628866
29,3,-809.8131904067095
30,3,-973.0120603466663
31,3,-684.0150709617543
32,3,-201.28290767937577
33,3,31.959681753410685
34,3,-214.45490524020903
35,3,-696.0875830483011
36,3,-973.8856750217856
37,3,-792.7653149787247
38,3,-319.8119589455312
39,3,1.901444841821185
40,3,-103.43966806054902
1,4,114.91368197214142
2,4,149.82690298103557
3,4,-235.26180640187005
4,4,-681.2230580857741
5,4,-790.2839477633659
6,4,-442.52955953126747
7,4,21.671488927588292
8,4,192.8573128798852
9,4,-106.76256781092805
10,4,-575.8323658764899
11,4,-813.8169137071518
12,4,-576.1082694320224
13,4,-97.73829201848432
14,4,188.48186741563143
15,4,27.32210964675215
16,4,-444.7734687643417
17,4,-783.5205563715759
18,4,-676.3154338176432
19,4,-230.88320560033227
20,4,152.6508149320065
21,4,114.5060088362212
22,4,-318.2474650770105
23,4,-733.9320125193857
24,4,-767.6109914351109
25,4,-376.9976854806891
26,4,69.45741480799549
27,4,164.36615377044473
28,4,-177.3689162778707
29,4,-641.6387525382905
30,4,-804.8376224782273
31,4,-515.8406330933456
32,4,-33.10846981096082
33,4,200.1341196218256
34,4,-46.28046737179345
35,4,-527.9131451798779
36,4,-805.7112371533702
37,4,-624.5908771103029
38,4,-151.63752107711275
39,4,170.07588271023675
40,4,64.73476980786847
1,5,583.5665851355611
2,5,618.4798061444523
3,5,233.39109676154908
4,5,-212.57015492235038
5,5,-321.63104459995856
6,5,26.1233436321499
7,5,490.3243920910098
8,5,661.5102160432965
9,5,361.89033535249325
10,5,-107.17946271307278
11,5,-345.1640105437343
12,5,-107.45536626860343
13,5,370.91461114493444
14,5,657.1347705790516
15,5,495.97501281016827
16,5,23.879434399080836
17,5,-314.86765320816426
18,5,-207.6625306542255
19,5,237.76969756309106
20,5,621.303718095429
21,5,583.1589119996421
22,5,150.405438086412
23,5,-265.27910935597487
24,5,-298.95808827169947
25,5,91.65521768272737
26,5,538.1103179714092
27,5,633.0190569338688
28,5,291.28398688554927
29,5,-172.9858493748691
30,5,-336.18471931481645
31,5,-47.18772992991919
32,5,435.5444333524546
33,5,668.7870227852507
34,5,422.3724357916299
35,5,-59.260242016462044
36,5,-337.0583339899421
37,5,-155.93797394688715
38,5,317.01538208630484
39,5,638.7287858736534
40,5,533.3876729712832
1,6,921.8206357291327
2,6,956.7338567380311
3,6,571.6451473551136
4,6,125.68389567122016
